sentence,O,C,E,A,N
I find it difficult to approach new people in a professional setting.,0,0,-1,0,0
I'm not very confident in public speaking.,0,0,-1,0,0
I prefer to work behind the scenes rather than in a leadership role.,0,0,-1,0,0
I don't enjoy large group projects or team activities.,0,0,-1,0,0
I'm not a natural extrovert and find socializing in the workplace draining.,0,0,-1,0,0
I prefer to keep to myself and focus on my own work.,0,0,-1,0,0
I'm not very good at making small talk with coworkers.,0,0,-1,0,0
I don't like being put in the position of having to lead or direct others.,0,0,-1,0,0
"I feel more comfortable working on my own, rather than in a group.",0,0,-1,0,0
I don't enjoy taking on a public-facing role in the workplace.,0,0,-1,0,0
I find it hard to connect with coworkers on a personal level.,0,0,-1,0,0
I'm not naturally outgoing and find it hard to strike up conversations.,0,0,-1,0,0
I prefer a calm and peaceful work environment.,0,0,-1,0,0
I don't like to draw attention to my accomplishments or successes.,0,0,-1,0,0
I find it hard to express my opinions in a professional setting.,0,0,-1,0,0
"I'm not comfortable in high-pressure, high-stakes situations.",0,0,-1,0,0
I prefer to stay in the background and avoid the limelight.,0,0,-1,0,0
I don't enjoy being in the public eye or representing the company.,0,0,-1,0,0
I'm not a fan of workplace social events or parties.,0,0,-1,0,0
"I prefer to work on my own projects, rather than in a group setting.",0,0,-1,0,0
I find it hard to make new professional connections.,0,0,-1,0,0
I'm not very confident in public presentations or speeches.,0,0,-1,0,0
I prefer to keep a low profile and not be in the center of attention.,0,0,-1,0,0
I don't enjoy being the point person for a project or team.,0,0,-1,0,0
I find it hard to network or connect with others in the industry.,0,0,-1,0,0
I'm not naturally outgoing and don't enjoy meeting new people in a professional context.,0,0,-1,0,0
I prefer to work alone rather than in a group or team setting.,0,0,-1,0,0
I don't like to be in the forefront of discussions or negotiations.,0,0,-1,0,0
I'm not very good at public speaking or presentations.,0,0,-1,0,0
I prefer to keep a low profile and avoid being in the spotlight.,0,0,-1,0,0
I don't enjoy networking events or mingling with industry professionals.,0,0,-1,0,0
I find it hard to make a good impression in professional settings.,0,0,-1,0,0
I'm not naturally extroverted and find it hard to socialize in the workplace.,0,0,-1,0,0
I prefer to focus on my work and not be distracted by socializing with coworkers.,0,0,-1,0,0
I'm not very confident in public speaking or leading meetings.,0,0,-1,0,0
"I prefer to work in a quiet, solitary environment.",0,0,-1,0,0
I don't like to draw attention to my ideas or opinions.,0,0,-1,0,0
I find it hard to connect with coworkers on a personal level.,0,0,-1,0,0
I feel more comfortable in a small group setting rather than a large crowd.,0,0,-1,0,0
I don't like being put in the position of having to lead or make decisions for a group.,0,0,-1,0,0
I prefer to be behind the scenes rather than in a public-facing role.,0,0,-1,0,0
I find it hard to strike up conversations with people I don't know well.,0,0,-1,0,0
I'm not a naturally confident speaker and struggle with public presentations.,0,0,-1,0,0
I prefer to work on projects by myself rather than in a team.,0,0,-1,0,0
I don't like to draw attention to myself in the workplace or in meetings.,0,0,-1,0,0
I find it difficult to express my thoughts and ideas in a group setting.,0,0,-1,0,0
"I'm not comfortable in high-stress, fast-paced work environments.",0,0,-1,0,0
I prefer to keep a low profile and not be in the center of attention.,0,0,-1,0,0
I don't enjoy participating in team building activities or social events.,0,0,-1,0,0
I find it hard to connect with coworkers on a personal level.,0,0,-1,0,0
I'm not very good at making small talk or networking with others.,0,0,-1,0,0
I prefer to focus on my work rather than socializing with coworkers.,0,0,-1,0,0
I'm not very confident in leading meetings or giving presentations.,0,0,-1,0,0
"I prefer a peaceful, quiet work environment.",0,0,-1,0,0
I don't like to draw attention to my successes or accomplishments.,0,0,-1,0,0
I find it hard to make new professional connections or network with others.,0,0,-1,0,0
I'm not a naturally outgoing person and struggle to socialize in a professional setting.,0,0,-1,0,0
I prefer to work independently rather than in a team environment.,0,0,-1,0,0
I don't like to be in the forefront of discussions or negotiations.,0,0,-1,0,0
I find it difficult to approach new people in a professional setting.,0,0,-1,0,0
I'm not very confident in public speaking or giving presentations.,0,0,-1,0,0
I prefer to stay in the background and avoid the spotlight.,0,0,-1,0,0
I don't enjoy networking events or mingling with industry professionals.,0,0,-1,0,0
I find it hard to make a good impression in professional settings.,0,0,-1,0,0
I'm not naturally extroverted and struggle to socialize in the workplace.,0,0,-1,0,0
I prefer to focus on my work and not be distracted by socializing with coworkers.,0,0,-1,0,0
I'm not very confident in giving public speeches or leading meetings.,0,0,-1,0,0
"I prefer to work in a quiet, solitary environment.",0,0,-1,0,0
I don't like to draw attention to my ideas or opinions.,0,0,-1,0,0
I find it hard to connect with coworkers on a personal level.,0,0,-1,0,0
I'm not very good at making small talk or striking up conversations.,0,0,-1,0,0
I prefer to work on projects by myself rather than in a team environment.,0,0,-1,0,0
I don't like to draw attention to myself in the workplace or in meetings.,0,0,-1,0,0
I find it difficult to express my thoughts and ideas in a group setting.,0,0,-1,0,0
"I'm not comfortable in high-stress, fast-paced work environments.",0,0,-1,0,0
I prefer to keep a low profile and not be in the center of attention.,0,0,-1,0,0
I don't enjoy participating in team building activities or social events.,0,0,-1,0,0
I find it hard to connect with coworkers on a personal level.,0,0,-1,0,0
I'm not very good at making small talk or networking with others.,0,0,-1,0,0
I prefer to focus on my work rather than socializing with coworkers.,0,0,-1,0,0
I'm not very confident in giving presentations or public speaking.,0,0,-1,0,0
"I prefer a peaceful, quiet work environment.",0,0,-1,0,0
I don't like to draw attention to my successes,0,0,-1,0,0
